;NAME;JOBREF;CORRSTARTTIME;CORRSTOPTIME;QTYGOOD;CORRSTARTDATE;CORRSTOPDATE
613;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530138;26099;32351;0.0;2018-08-28;2018-08-28
614;CF36KFM : 900 x 576 : H/H : 115G : ST1 : 4D/3F/3B/12T : HACF;530138;26099;32351;0.0;2018-08-28;2018-08-28
615;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;531248;36040;53531;160.0;2018-08-28;2018-08-28
616;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530704;53531;55800;37.0;2018-08-28;2018-08-28
617;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530635;32243;48793;160.0;2018-08-30;2018-08-30
618;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;531250;50778;55800;100.0;2018-08-30;2018-08-30
619;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;531251;27342;43037;135.0;2018-08-31;2018-08-31
620;SP16-1 : 1175 x 576 : 115G : ST1 : 3D/3G/3B/12T : HA;529805;44965;53094;70.0;2018-09-06;2018-09-06
621;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;531886;53094;55800;0.0;2018-09-06;2018-09-06
622;SP16-1 : 1175 x 676 : 115G : ST1 : 3D/3G/3B/12T : HA;529806;33614;38797;40.0;2018-09-07;2018-09-07
623;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531130;38797;42724;35.0;2018-09-07;2018-09-07
624;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531129;44409;46699;21.0;2018-09-07;2018-09-07
625;SW56-1 : 1175 x 576 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530982;48928;52189;47.0;2018-09-10;2018-09-10
626;SW56-1 : 1275 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;530789;25200;28721;40.0;2018-09-11;2018-09-11
627;SW56-1 : 1375 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531132;28721;31402;21.0;2018-09-11;2018-09-11
628;BD30 : 1130 x 540 : H/H : 190M : ST1 : 3D/4F/4B/12T : SA;531225;51532;55800;48.0;2018-09-12;2018-09-12
629;CF56S : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;531047;28386;38419;77.0;2018-09-13;2018-09-13
630;CF56S : 1130 x 540 : H/H : 140G : ST1 : 3D/3F/2B/12T : HACF;531545;38419;46423;48.0;2018-09-13;2018-09-13
631;SW56-1 : 1175 x 676 : H/H : 140G : ST1 : 3D/3F/3B/12T : EA;531338;46423;51461;64.0;2018-09-13;2018-09-13
